Date,Admissions
1999-01-31,798
1999-02-28,724
1999-03-31,778
1999-04-30,783
1999-05-31,851
1999-06-30,835
1999-07-31,806
1999-08-31,878
1999-09-30,763
1999-10-31,810
1999-11-30,790
1999-12-31,841
2000-01-31,847
2000-02-29,788
2000-03-31,854
2000-04-30,856
2000-05-31,780
2000-06-30,837
2000-07-31,805
2000-08-31,835
2000-09-30,798
2000-10-31,809
2000-11-30,826
2000-12-31,904
2001-01-31,851
2001-02-28,768
2001-03-31,812
2001-04-30,802
2001-05-31,782
2001-06-30,741
2001-07-31,834
2001-08-31,884
2001-09-30,778
2001-10-31,804
2001-11-30,809
2001-12-31,827
2002-01-31,807
2002-02-28,798
2002-03-31,858
2002-04-30,793
2002-05-31,890
2002-06-30,780
2002-07-31,836
2002-08-31,809
2002-09-30,821
2002-10-31,881
2002-11-30,819
2002-12-31,795
2003-01-31,820
2003-02-28,727
2003-03-31,849
2003-04-30,780
2003-05-31,838
2003-06-30,800
2003-07-31,863
2003-08-31,811
2003-09-30,817
2003-10-31,867
2003-11-30,821
2003-12-31,877
2004-01-31,820
2004-02-29,772
2004-03-31,794
2004-04-30,809
2004-05-31,864
2004-06-30,842
2004-07-31,826
2004-08-31,843
2004-09-30,792
2004-10-31,839
2004-11-30,821
2004-12-31,823
2005-01-31,815
2005-02-28,732
2005-03-31,831
2005-04-30,778
2005-05-31,814
2005-06-30,814
2005-07-31,845
2005-08-31,859
2005-09-30,793
2005-10-31,809
2005-11-30,840
2005-12-31,881
2006-01-31,765
2006-02-28,788
2006-03-31,805
2006-04-30,810
2006-05-31,821
2006-06-30,812
2006-07-31,813
2006-08-31,817
2006-09-30,832
2006-10-31,825
2006-11-30,788
2006-12-31,869
2007-01-31,840
2007-02-28,764
2007-03-31,860
2007-04-30,777
2007-05-31,883
2007-06-30,791
2007-07-31,841
2007-08-31,789
2007-09-30,808
2007-10-31,833
2007-11-30,825
2007-12-31,808
2008-01-31,865
2008-02-29,768
2008-03-31,818
2008-04-30,773
2008-05-31,866
2008-06-30,819
2008-07-31,803
2008-08-31,854
2008-09-30,788
2008-10-31,825
2008-11-30,789
2008-12-31,820
