Date,Admissions
1999-01-03,88
1999-01-10,183
1999-01-17,191
1999-01-24,179
1999-01-31,157
1999-02-07,175
1999-02-14,185
1999-02-21,182
1999-02-28,182
1999-03-07,185
1999-03-14,184
1999-03-21,172
1999-03-28,168
1999-04-04,174
1999-04-11,182
1999-04-18,213
1999-04-25,171
1999-05-02,171
1999-05-09,209
1999-05-16,194
1999-05-23,184
1999-05-30,168
1999-06-06,189
1999-06-13,201
1999-06-20,206
1999-06-27,206
1999-07-04,182
1999-07-11,182
1999-07-18,179
1999-07-25,181
1999-08-01,180
1999-08-08,214
1999-08-15,184
1999-08-22,211
1999-08-29,200
1999-09-05,176
1999-09-12,169
1999-09-19,174
1999-09-26,178
1999-10-03,188
1999-10-10,190
1999-10-17,167
1999-10-24,194
1999-10-31,178
1999-11-07,205
1999-11-14,191
1999-11-21,176
1999-11-28,164
1999-12-05,183
1999-12-12,180
1999-12-19,197
1999-12-26,196
2000-01-02,187
2000-01-09,197
2000-01-16,185
2000-01-23,212
2000-01-30,176
2000-02-06,199
2000-02-13,175
2000-02-20,179
2000-02-27,202
2000-03-05,206
2000-03-12,176
2000-03-19,187
2000-03-26,205
2000-04-02,198
2000-04-09,212
2000-04-16,193
2000-04-23,215
2000-04-30,180
2000-05-07,190
2000-05-14,178
2000-05-21,176
2000-05-28,176
2000-06-04,159
2000-06-11,227
2000-06-18,185
2000-06-25,204
2000-07-02,169
2000-07-09,183
2000-07-16,192
2000-07-23,174
2000-07-30,184
2000-08-06,184
2000-08-13,188
2000-08-20,196
2000-08-27,186
2000-09-03,187
2000-09-10,191
2000-09-17,172
2000-09-24,171
2000-10-01,207
2000-10-08,186
2000-10-15,161
2000-10-22,196
2000-10-29,182
2000-11-05,191
2000-11-12,203
2000-11-19,201
2000-11-26,196
2000-12-03,200
2000-12-10,187
2000-12-17,202
2000-12-24,209
2000-12-31,201
2001-01-07,206
2001-01-14,208
2001-01-21,183
2001-01-28,175
2001-02-04,186
2001-02-11,185
2001-02-18,191
2001-02-25,196
2001-03-04,189
2001-03-11,168
2001-03-18,220
2001-03-25,170
2001-04-01,185
2001-04-08,174
2001-04-15,185
2001-04-22,194
2001-04-29,178
2001-05-06,212
2001-05-13,149
2001-05-20,179
2001-05-27,184
2001-06-03,169
2001-06-10,182
2001-06-17,168
2001-06-24,171
2001-07-01,174
2001-07-08,183
2001-07-15,186
2001-07-22,184
2001-07-29,184
2001-08-05,214
2001-08-12,190
2001-08-19,204
2001-08-26,217
2001-09-02,178
2001-09-09,172
2001-09-16,186
2001-09-23,192
2001-09-30,181
2001-10-07,206
2001-10-14,183
2001-10-21,176
2001-10-28,160
2001-11-04,190
2001-11-11,184
2001-11-18,187
2001-11-25,195
2001-12-02,184
2001-12-09,181
2001-12-16,204
2001-12-23,188
2001-12-30,180
2002-01-06,165
2002-01-13,189
2002-01-20,194
2002-01-27,179
2002-02-03,185
2002-02-10,209
2002-02-17,186
2002-02-24,218
2002-03-03,188
2002-03-10,196
2002-03-17,193
2002-03-24,204
2002-03-31,179
2002-04-07,187
2002-04-14,187
2002-04-21,189
2002-04-28,173
2002-05-05,199
2002-05-12,185
2002-05-19,192
2002-05-26,212
2002-06-02,211
2002-06-09,193
2002-06-16,188
2002-06-23,180
2002-06-30,167
2002-07-07,191
2002-07-14,192
2002-07-21,184
2002-07-28,188
2002-08-04,179
2002-08-11,200
2002-08-18,181
2002-08-25,186
2002-09-01,173
2002-09-08,197
2002-09-15,177
2002-09-22,191
2002-09-29,197
2002-10-06,190
2002-10-13,194
2002-10-20,209
2002-10-27,208
2002-11-03,186
2002-11-10,209
2002-11-17,194
2002-11-24,179
2002-12-01,186
2002-12-08,179
2002-12-15,160
2002-12-22,192
2002-12-29,184
2003-01-05,178
2003-01-12,202
2003-01-19,187
2003-01-26,171
2003-02-02,195
2003-02-09,182
2003-02-16,159
2003-02-23,202
2003-03-02,181
2003-03-09,181
2003-03-16,185
2003-03-23,199
2003-03-30,195
2003-04-06,193
2003-04-13,181
2003-04-20,156
2003-04-27,202
2003-05-04,194
2003-05-11,195
2003-05-18,188
2003-05-25,186
2003-06-01,187
2003-06-08,182
2003-06-15,193
2003-06-22,207
2003-06-29,161
2003-07-06,199
2003-07-13,178
2003-07-20,195
2003-07-27,206
2003-08-03,194
2003-08-10,179
2003-08-17,180
2003-08-24,201
2003-08-31,169
2003-09-07,191
2003-09-14,193
2003-09-21,192
2003-09-28,191
2003-10-05,188
2003-10-12,186
2003-10-19,206
2003-10-26,190
2003-11-02,194
2003-11-09,182
2003-11-16,212
2003-11-23,184
2003-11-30,196
2003-12-07,203
2003-12-14,200
2003-12-21,203
2003-12-28,197
2004-01-04,178
2004-01-11,150
2004-01-18,219
2004-01-25,192
2004-02-01,194
2004-02-08,198
2004-02-15,169
2004-02-22,193
2004-02-29,173
2004-03-07,190
2004-03-14,185
2004-03-21,189
2004-03-28,165
2004-04-04,179
