date,actual,lstm_forecast
2008-11-19,30,27.19556
2008-11-20,26,27.007008
2008-11-21,27,26.97406
2008-11-22,26,26.892883
2008-11-23,22,26.84058
2008-11-24,16,26.826689
2008-11-25,29,26.824282
2008-11-26,28,26.629082
2008-11-27,21,26.549223
2008-11-28,23,26.549816
2008-11-29,30,26.481499
2008-11-30,27,26.363947
2008-12-01,32,26.359869
2008-12-02,23,26.299534
2008-12-03,27,26.413918
2008-12-04,28,26.41513
2008-12-05,28,26.442398
2008-12-06,34,26.483288
2008-12-07,34,26.455986
2008-12-08,18,26.505514
2008-12-09,21,26.757702
2008-12-10,28,26.808695
2008-12-11,23,26.775204
2008-12-12,35,26.82133
2008-12-13,30,26.670223
2008-12-14,30,26.70302
2008-12-15,35,26.715126
2008-12-16,19,26.679728
2008-12-17,32,26.910492
2008-12-18,28,26.826948
2008-12-19,25,26.905674
2008-12-20,21,26.968641
2008-12-21,32,27.030764
2008-12-22,33,26.905268
2008-12-23,25,26.858574
2008-12-24,20,26.940294
2008-12-25,19,27.002277
2008-12-26,34,27.000254
2008-12-27,28,26.794294
2008-12-28,21,26.794575
2008-12-29,34,26.8313
2008-12-30,23,26.660473
